Gender,Age,Category,Quantity,Price,Sales,Year,Month,Quarter,Day,Age_Group
Male,34,Beauty,3,50,150,2023,Nov,Quarter 4,Friday,29-39
Female,26,Clothing,2,500,1000,2023,Feb,Quarter 1,Monday,20-29
Male,50,Electronics,1,30,30,2023,Jan,Quarter 1,Friday,50-59
Male,37,Clothing,1,500,500,2023,May,Quarter 2,Sunday,29-39
Male,30,Beauty,2,50,100,2023,May,Quarter 2,Saturday,29-39
Female,45,Beauty,1,30,30,2023,Apr,Quarter 2,Tuesday,40-49
Male,46,Clothing,2,25,50,2023,Mar,Quarter 1,Monday,40-49
Male,30,Electronics,4,25,100,2023,Feb,Quarter 1,Wednesday,29-39
Male,63,Electronics,2,300,600,2023,Dec,Quarter 4,Wednesday,60-69
Female,52,Clothing,4,50,200,2023,Oct,Quarter 4,Saturday,50-59
Male,23,Clothing,2,50,100,2023,Feb,Quarter 1,Tuesday,20-29
Male,35,Beauty,3,25,75,2023,Oct,Quarter 4,Monday,29-39
Male,22,Electronics,3,500,1500,2023,Aug,Quarter 3,Saturday,20-29
Male,64,Clothing,4,30,120,2023,Jan,Quarter 1,Tuesday,60-69
Female,42,Electronics,4,500,2000,2023,Jan,Quarter 1,Monday,40-49
Male,19,Clothing,3,500,1500,2023,Feb,Quarter 1,Friday,13-19
Female,27,Clothing,4,25,100,2023,Apr,Quarter 2,Saturday,20-29
Female,47,Electronics,2,25,50,2023,Apr,Quarter 2,Sunday,40-49
Female,62,Clothing,2,25,50,2023,Sep,Quarter 3,Saturday,60-69
Male,22,Clothing,3,300,900,2023,Nov,Quarter 4,Sunday,20-29
Female,50,Beauty,1,500,500,2023,Jan,Quarter 1,Saturday,50-59
Male,18,Clothing,2,50,100,2023,Oct,Quarter 4,Sunday,13-19
Female,35,Clothing,4,30,120,2023,Apr,Quarter 2,Wednesday,29-39
Female,49,Clothing,1,300,300,2023,Nov,Quarter 4,Wednesday,50-59
Female,64,Beauty,1,50,50,2023,Dec,Quarter 4,Tuesday,60-69
Female,28,Electronics,2,500,1000,2023,Oct,Quarter 4,Saturday,20-29
Female,38,Beauty,2,25,50,2023,Aug,Quarter 3,Thursday,29-39
Female,43,Beauty,1,500,500,2023,Apr,Quarter 2,Sunday,40-49
Female,42,Electronics,1,30,30,2023,Aug,Quarter 3,Friday,40-49
Female,39,Beauty,3,300,900,2023,Oct,Quarter 4,Sunday,40-49
Male,44,Electronics,4,300,1200,2023,May,Quarter 2,Tuesday,40-49
Male,30,Beauty,3,30,90,2023,Jan,Quarter 1,Wednesday,29-39
Female,50,Electronics,2,50,100,2023,Mar,Quarter 1,Thursday,50-59
Female,51,Clothing,3,50,150,2023,Dec,Quarter 4,Sunday,50-59
Female,58,Beauty,3,300,900,2023,Aug,Quarter 3,Saturday,50-59
Male,52,Beauty,3,300,900,2023,Jun,Quarter 2,Saturday,50-59
Female,18,Beauty,3,25,75,2023,May,Quarter 2,Tuesday,13-19
Male,38,Beauty,4,50,200,2023,Mar,Quarter 1,Tuesday,29-39
Male,23,Clothing,4,30,120,2023,Apr,Quarter 2,Friday,20-29
Male,45,Beauty,1,50,50,2023,Jun,Quarter 2,Thursday,40-49
Male,34,Clothing,2,25,50,2023,Feb,Quarter 1,Wednesday,29-39
Male,22,Clothing,3,300,900,2023,Feb,Quarter 1,Friday,20-29
Female,48,Clothing,1,300,300,2023,Jul,Quarter 3,Friday,40-49
Female,22,Clothing,1,25,25,2023,Feb,Quarter 1,Sunday,20-29
Female,55,Electronics,1,30,30,2023,Jul,Quarter 3,Monday,50-59
Female,20,Electronics,4,300,1200,2023,Jun,Quarter 2,Monday,20-29
Female,40,Beauty,3,500,1500,2023,Nov,Quarter 4,Monday,40-49
Male,54,Electronics,3,300,900,2023,May,Quarter 2,Tuesday,50-59
Female,54,Electronics,2,500,1000,2023,Jan,Quarter 1,Monday,50-59
Female,27,Beauty,3,25,75,2023,Aug,Quarter 3,Thursday,20-29
Male,27,Beauty,3,25,75,2023,Oct,Quarter 4,Monday,20-29
Female,36,Beauty,1,300,300,2023,Mar,Quarter 1,Sunday,29-39
Male,34,Electronics,2,50,100,2023,Jul,Quarter 3,Thursday,29-39
Female,38,Electronics,3,500,1500,2023,Feb,Quarter 1,Friday,29-39
Male,31,Beauty,4,30,120,2023,Oct,Quarter 4,Tuesday,29-39
Female,26,Clothing,3,300,900,2023,May,Quarter 2,Wednesday,20-29
Female,63,Beauty,1,30,30,2023,Nov,Quarter 4,Saturday,60-69
Male,18,Clothing,4,300,1200,2023,Nov,Quarter 4,Monday,13-19
Male,62,Clothing,1,50,50,2023,Jul,Quarter 3,Wednesday,60-69
Male,30,Beauty,3,50,150,2023,Oct,Quarter 4,Monday,29-39
Male,21,Beauty,4,50,200,2023,Apr,Quarter 2,Sunday,20-29
Male,18,Beauty,2,50,100,2023,Dec,Quarter 4,Wednesday,13-19
Male,57,Electronics,2,25,50,2023,Feb,Quarter 1,Sunday,50-59
Male,49,Clothing,4,25,100,2023,Jan,Quarter 1,Tuesday,50-59
Male,51,Electronics,4,500,2000,2023,Dec,Quarter 4,Tuesday,50-59
Female,45,Electronics,1,30,30,2023,Apr,Quarter 2,Thursday,40-49
Female,48,Beauty,4,300,1200,2023,May,Quarter 2,Monday,40-49
Male,25,Electronics,1,300,300,2023,Feb,Quarter 1,Friday,20-29
Female,56,Beauty,3,25,75,2023,Apr,Quarter 2,Sunday,50-59
Female,43,Clothing,1,300,300,2023,Feb,Quarter 1,Tuesday,40-49
Female,51,Beauty,4,25,100,2023,Jul,Quarter 3,Friday,50-59
Female,20,Electronics,4,500,2000,2023,May,Quarter 2,Tuesday,20-29
Male,29,Electronics,3,30,90,2023,Aug,Quarter 3,Monday,29-39
Female,18,Beauty,4,500,2000,2023,Nov,Quarter 4,Wednesday,13-19
Male,61,Beauty,4,50,200,2023,Jul,Quarter 3,Thursday,60-69
Female,22,Electronics,2,50,100,2023,Mar,Quarter 1,Saturday,20-29
Female,47,Clothing,2,50,100,2023,Jul,Quarter 3,Sunday,40-49
Female,47,Clothing,3,500,1500,2023,Jul,Quarter 3,Saturday,40-49
Male,34,Beauty,1,300,300,2023,Apr,Quarter 2,Tuesday,29-39
Female,64,Clothing,2,30,60,2023,Dec,Quarter 4,Sunday,60-69
Male,40,Electronics,1,50,50,2023,May,Quarter 2,Wednesday,40-49
Female,32,Beauty,4,50,200,2023,Dec,Quarter 4,Tuesday,29-39
Male,54,Electronics,2,50,100,2023,Dec,Quarter 4,Saturday,50-59
Female,38,Electronics,3,30,90,2023,Nov,Quarter 4,Tuesday,29-39
Male,31,Clothing,3,50,150,2023,Feb,Quarter 1,Monday,29-39
Male,19,Beauty,3,30,90,2023,Nov,Quarter 4,Wednesday,13-19
Female,28,Beauty,2,50,100,2023,Nov,Quarter 4,Wednesday,20-29
Male,56,Clothing,1,500,500,2023,Mar,Quarter 1,Wednesday,50-59
Female,55,Electronics,4,500,2000,2023,Oct,Quarter 4,Sunday,50-59
Female,51,Electronics,1,30,30,2023,May,Quarter 2,Saturday,50-59
Female,55,Electronics,1,500,500,2023,Mar,Quarter 1,Saturday,50-59
Female,51,Electronics,4,30,120,2023,Aug,Quarter 3,Friday,50-59
Female,35,Beauty,4,500,2000,2023,Jul,Quarter 3,Friday,29-39
Female,47,Beauty,2,500,1000,2023,May,Quarter 2,Friday,40-49
Female,32,Clothing,2,30,60,2023,Nov,Quarter 4,Friday,29-39
Female,44,Clothing,2,300,600,2023,Dec,Quarter 4,Tuesday,40-49
Female,51,Beauty,2,500,1000,2023,Oct,Quarter 4,Friday,50-59
Female,55,Beauty,2,50,100,2023,Apr,Quarter 2,Sunday,50-59
Female,50,Electronics,4,300,1200,2023,Dec,Quarter 4,Sunday,50-59
Male,41,Electronics,1,30,30,2023,Jun,Quarter 2,Friday,40-49
